地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,汙水處理廠,垃圾區,發電廠,墓地,機場,殯儀館,高鐵,高速&快速道路,
臺中市大甲區大安港路５３巷９弄８號二樓,736,39,華廈(10層含以下有電梯),1,1,0,3,2,2,1,1,0.72702205,12.66499853,21.15976169,20.86641035,17.69942548,20.16753757,8.954646571,0.251680082,0.916386479,0.587225093,0.603188829,0.161142343,20.86641043,7.206059019,11.53512478,1.968957763,8.73695963,2.059955116,9.43981686,2.336963238,26.35293199,3.076978082,
臺中市大甲區甲東路５９６號７樓,750,41.98,華廈(10層含以下有電梯),5,2,1,3,2,2,1,1,0.141111764,11.25139818,20.06519139,19.79362058,16.29618053,18.77989607,7.488911485,1.513247843,1.194320488,0.416454339,0.252064104,1.507843232,19.79362054,7.59528284,10.18960872,0.56902214,9.260577473,0.712729663,8.315530428,2.019595245,25.41214478,1.652563254,
臺中市大甲區義和二街１２０巷７９之２號,539,22.82,華廈(10層含以下有電梯),2,1,0,2,2,2,1,1,0.782671252,11.73019708,19.66238038,19.3760965,16.19007879,18.65086014,7.902298092,1.659253152,1.680502957,0.991374231,0.940705883,1.688513258,19.37609653,8.265471564,10.74168518,1.304977445,8.482326357,1.459604226,7.927141592,2.772388458,24.91732151,2.249734343,
臺中市大甲區經國路９２２號八樓,440,33.38,住宅大樓(11層含以上有電梯),26,2,1,3,2,2,1,1,0.098169938,12.41758377,21.83826837,21.55787409,18.09690273,20.58637107,8.838445319,0.699866133,0.644120067,1.06687888,0.755055776,0.315614008,21.5578741,6.264007487,11.20455395,2.054509788,9.642654243,1.568318538,10.09202553,1.636867997,27.11498247,3.036208368,
臺中市大甲區大安港路５３巷９弄８號六樓,750,39,華廈(10層含以下有電梯),1,2,1,3,2,2,1,1,0.72702205,12.66499853,21.15976169,20.86641035,17.69942548,20.16753757,8.954646571,0.251680082,0.916386479,0.587225093,0.603188829,0.161142343,20.86641043,7.206059019,11.53512478,1.968957763,8.73695963,2.059955116,9.43981686,2.336963238,26.35293199,3.076978082,
臺中市大肚區遊園路二段１９８巷９號,480,21.71,公寓(5樓含以下無電梯),41,1,0,3,2,1,0,0,0.718473685,6.668601509,6.625530437,6.135040256,5.364105846,6.936349496,7.812076611,2.632256737,1.212484523,0.055710036,0.817472323,0.817472323,6.135042396,2.752400557,4.160270377,2.985421779,10.04176943,1.980730706,11.57884623,2.48259858,7.68920945,2.562197782,
臺中市大肚區遊園路二段２２１號三樓之六,480,30.77,華廈(10層含以下有電梯),30,1,0,3,2,2,1,1,0.636741589,6.675547685,6.705303113,6.215283965,5.445687838,7.013366914,7.891154627,2.709581256,1.174376629,0.068361655,0.772682514,0.772682514,6.215286105,2.833158922,4.205370537,3.03916873,9.970482874,1.917668223,11.62181766,2.553244202,7.722944451,2.53702818,
臺中市大肚區自由路４３９號四樓,290,28.5,公寓(5樓含以下無電梯),22,1,0,2,1,2,0,0,0.62899719,6.250340189,9.906505243,9.475560653,8.859584768,8.367449505,10.99177475,5.436406295,0.696901691,0.340601892,0.158067898,0.868698373,9.475562882,6.339880993,5.992283892,5.461747064,8.667546788,1.319595826,15.1618528,6.488741089,8.393969299,3.158024082,
臺中市大肚區遊園路一段７０巷２弄１２之３號,340,24.93,公寓(5樓含以下無電梯),39,1,0,3,2,1,0,0,1.223446705,5.082402076,7.029371408,6.593467119,5.978946518,6.58766373,8.130580623,2.961107265,0.801068635,1.238644093,0.898330995,2.379528401,6.593469349,3.503476384,3.409189459,2.63583113,10.49857821,0.970223897,13.38187513,4.09415764,6.522465874,4.135928515,
臺中市大肚區遊園路一段７０巷１弄２７之１號,318,24.45,公寓(5樓含以下無電梯),39,1,0,3,2,1,0,0,1.233253744,5.075809856,6.974744339,6.538614074,5.923894534,6.563440675,8.076513679,2.922836857,0.854557521,1.216451604,0.951097409,2.369920958,6.538616304,3.449556424,3.366080958,2.583873338,10.53643069,0.978741859,13.34968365,4.053017104,6.496017291,4.132441926,
臺中市大里區中山路１巷１弄１２號六樓,563,27.5,華廈(10層含以下有電梯),27,2,0,3,2,2,1,1,0.314466321,5.576187704,4.107198474,2.714388094,2.405455562,6.396622233,2.15795201,0.430426905,0.564046279,1.016965715,0.687642957,1.18721608,2.714387746,2.251473467,4.665102295,7.195561902,18.33695418,5.235932238,21.2990436,8.212849337,8.793227075,1.514792842,
臺中市大里區公園街２１０號八樓之５,888,35,住宅大樓(11層含以上有電梯),2,2,1,2,2,1,1,1,0.246811345,5.496405022,4.042301622,2.716230051,2.322686594,6.25982603,2.090543686,0.609907498,0.633398561,1.006300143,0.684185131,1.275577946,2.716229555,2.428614211,4.52646281,7.100798933,18.5126385,5.185578528,21.26684429,8.21518401,8.618624889,1.394433509,
臺中市大里區祥興路５２９號十一樓之８,902,25.96,住宅大樓(11層含以上有電梯),3,3,1,2,1,1,1,1,0.160761904,1.601891038,3.131253231,4.15621329,1.45304364,3.395009789,2.078862303,0.945173863,1.156340497,0.703053501,0.512666941,1.001302261,6.442424593,4.229013161,2.328812183,3.290166124,17.75030612,6.863457717,17.1209024,4.28199146,6.606501576,1.791815188,
臺中市大里區仁化工二路６６號四樓,600,30.31,住宅大樓(11層含以上有電梯),2,1,1,2,2,1,1,1,0.084337924,6.378993073,6.351570567,4.601555743,4.330501566,8.39257285,4.033545858,2.684988085,2.904645394,0.314651814,0.570463125,0.725530678,4.601556763,1.119845686,6.803402607,8.562521705,15.39326882,5.514232232,21.32479818,8.091180347,11.26369482,3.48942532,
臺中市大里區向善街７號六樓,658,40.88,華廈(10層含以下有電梯),28,2,1,3,2,2,1,1,0.264161045,4.809659775,5.739873947,4.238074016,2.037306973,6.142040574,1.73944539,1.284530337,1.133921738,0.110458392,0.484982189,0.506615678,4.23807404,1.176679649,4.518919715,6.501664665,16.93693035,6.845891506,20.05609054,6.837127426,8.969535713,1.526250927,
臺中市大里區公園街２１６號八樓之２,850,37.82,住宅大樓(11層含以上有電梯),2,2,1,2,1,1,1,1,0.210429372,5.468141275,4.081311154,2.752047157,2.294347985,6.242383613,2.059942926,0.583815906,0.594704335,0.969302025,0.718719779,1.236996639,2.752046673,2.39962251,4.509350747,7.074978059,18.48269336,5.224317028,21.23302759,8.178408054,8.612657486,1.37219633,
臺中市大里區現岱路３９號七樓之一,556,35.81,華廈(10層含以下有電梯),23,2,0,3,2,2,1,1,0.281593457,3.536070225,5.21362265,4.753366736,0.560175635,4.678130475,0.283453908,1.241173355,0.908910206,0.407506502,0.098919437,0.889155001,4.753366144,2.65375314,3.036654239,5.196892041,17.92826761,5.918500987,19.2219705,6.216790776,7.492694215,0.963116222,
臺中市大里區大明路１１９號五樓,702,37.55,住宅大樓(11層含以上有電梯),28,1,0,4,2,2,1,1,0.254051629,2.192452026,3.681964817,4.475724922,1.601447971,3.916931854,1.697895985,0.402884623,0.783128184,0.497681085,0.128438196,0.497487575,6.419846624,3.640566892,2.686582972,3.880031808,17.42574459,6.897028499,17.56486205,4.568302219,7.083003442,1.202704669,
臺中市大里區新義路２２３之４號,770,24.68,公寓(5樓含以下無電梯),43,1,0,8,0,8,0,0,0.382857543,3.363580549,4.990314365,5.066234439,0.759501003,4.667966346,0.586912694,0.885033021,0.675372986,0.294930037,0.350142474,0.622568016,5.066233932,2.614431799,3.090517523,5.046073816,17.6272612,6.257094847,18.92921502,5.876348685,7.582716668,0.764127249,
臺中市大里區大明路４６０號十樓之１,636,27.94,住宅大樓(11層含以上有電梯),18,2,1,2,2,1,1,1,0.180597232,1.474713555,3.181325474,4.512860359,1.725154037,2.976513626,1.955487737,0.782353825,0.885527077,0.556122159,0.456006562,0.856593834,6.427295386,4.431199947,1.789910272,3.147829921,18.28744995,6.358970007,17.30810827,4.663738651,6.136005624,2.040700027,
臺中市大里區中湖路１３０巷１２弄３號十三樓之３,820,58.99,住宅大樓(11層含以上有電梯),16,3,1,2,2,2,1,1,0.250097597,4.993310087,4.433326602,3.190960689,1.819714411,5.784807273,1.591821984,0.801324489,0.517911076,0.598784101,0.957438474,1.060330347,3.190960081,2.451210543,4.053891757,6.598694047,18.4737402,5.37509764,20.7806164,7.762324174,8.218211106,0.90267975,
臺中市大里區德芳南路２７６號十八樓之３,1950,66.12,住宅大樓(11層含以上有電梯),11,3,1,1,1,2,1,1,0.210268141,3.181502162,4.864947733,5.072291905,0.390267729,4.355024898,0.331923712,0.925969951,0.590733715,0.134624412,0.423373964,0.882544434,5.072291252,2.943504704,2.742230947,4.842201331,17.99136443,5.928159097,18.89706592,5.938285911,7.223264971,1.097058314,
