地段位置或門牌,總價(萬元),總面積(坪),總價/總面積,型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運站,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,汙水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速道路,高鐵,
桃園市大園區溪海里20鄰溪海路153巷31號,56,28.93,1.935706879,公寓(5樓含以下無電梯),27,1,0,3,2,1,0,0,3.129854277,9.678577292,3.170448221,9.241702588,8.263499065,2.518758899,3.199115787,3.076565368,3.243743814,3.864742277,1.373649539,2.847669429,6.602782029,7.620512113,4.963856395,7.568872853,11.24578707,1.32701225,7.42538207,6.618710867,7.011959199,3.335383421,
桃園市楊梅區楊明里17鄰新農街416號,465,145.67,3.192146633,住宅大樓(11層含以上有電梯),9,2,2,2,2,3,1,1,1.751176347,1.205556725,11.76912758,7.913968419,5.163162025,8.899242908,1.99537458,0.391742176,1.361136515,0.535116212,0.130355913,0.361632962,6.854302287,2.160710634,2.051301691,6.297103749,17.06913645,4.764181754,10.02352191,20.13617044,0.734012546,12.61931239,
桃園市楊梅區楊明里17鄰新農街416號,465,145.67,3.192146633,住宅大樓(11層含以上有電梯),9,1,2,3,2,3,1,1,1.751176347,1.205556725,11.76912758,7.913968419,5.163162025,8.899242908,1.99537458,0.391742176,1.361136515,0.535116212,0.130355913,0.361632962,6.854302287,2.160710634,2.051301691,6.297103749,17.06913645,4.764181754,10.02352191,20.13617044,0.734012546,12.61931239,
桃園市楊梅區高榮里3鄰梅高路二段668巷15弄40號,120,26.7,4.494382022,公寓(5樓含以下無電梯),39,1,0,3,2,2,0,0,0.955652615,4.055729515,10.38874518,7.735035494,6.666558731,7.331804675,2.978718478,3.793859921,4.777683566,1.530137047,1.478259718,0.175422963,5.387263114,3.617595613,3.044559048,4.446361683,13.45791191,6.902895911,8.207202903,16.59420953,3.530159259,9.445059475,
桃園市平鎮區平安里35鄰南京路102巷18號,100,21.96,4.553734062,住宅大樓(11層含以上有電梯),6,1,0,3,1,1,1,1,0.734063433,2.508025319,9.442222295,5.074223481,0.302618589,5.886940135,4.374328511,3.312267188,1.745896111,0.287562481,0.40172156,0.76187874,4.447103256,3.350570924,1.544807977,9.349537324,19.42244124,5.909478985,6.995470748,18.33177549,2.91467128,10.83206298,
桃園市新屋區永安里12鄰文化路二段2030巷15號,156,26.86,5.807892777,公寓(5樓含以下無電梯),27,1,0,3,1,2,0,0,7.624730116,7.179224028,19.59389278,20.28632984,19.02911002,17.76930528,0.408174852,8.14193356,7.680688474,7.470919878,1.239174049,1.62635123,17.98249102,11.76161043,3.893807303,8.105803702,5.684563354,1.024378472,20.07987766,23.26220132,15.88438984,18.99644634,
桃園市中壢區興仁里3鄰遠揚街63巷3號,174.1,29.24,5.954172367,公寓(5樓含以下無電梯),40,1,0,3,2,1,0,0,1.097867194,4.384219798,3.669907915,3.976242865,4.951761806,4.314630719,4.519143599,0.70886236,0.724811559,0.759245947,0.506030946,0.572333371,4.498729497,2.551345934,3.198142241,2.628982312,11.06388941,6.00535482,3.720215249,12.27101992,3.195646885,6.787207119,
桃園市桃園區中成里16鄰永安路385巷10號,100,14.66,6.821282401,住宅大樓(11層含以上有電梯),22,1,0,3,2,1,1,1,0.571673312,2.082653412,3.142920551,1.897919431,2.279984857,8.579493612,2.317025429,1.123265079,0.783490426,0.183144191,0.105844385,0.849837245,1.740436475,3.058480251,2.775544652,3.430177602,6.374455586,2.440449563,2.817559626,10.90053451,3.198189171,8.626969537,
桃園市楊梅區青山里15鄰青山五街10巷5號,320,45.17,7.084348019,住宅大樓(11層含以上有電梯),26,2,1,3,1,2,1,1,1.622196135,1.308503329,11.68927271,7.062776915,3.952266372,7.287653704,0.884901395,1.629739825,1.689936364,1.434934115,1.304505168,1.64463723,5.261399682,0.549806925,0.83872621,6.943238788,17.18706418,6.318254578,8.419154266,18.74849616,0.392190344,11.18100794,
桃園市桃園區文化里4鄰成功路一段41巷1之3號,300,41.49,7.23065799,住宅大樓(11層含以上有電梯),33,1,0,1,1,1,1,1,0.720222232,0.442008287,2.461324327,1.148218989,1.130428049,9.22676768,1.172034718,0.349176904,0.145562872,0.399302265,0.157833495,0.813618678,0.26353023,1.40703108,1.124889601,3.403551728,6.295416401,1.471656583,3.281386988,12.48707384,4.852156069,10.13815185,
