地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,污水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速公路,高鐵,
高雄市小港區桂江街１４３號三樓,90,38.87,華廈(10層含以下有電梯),30,1,0,3,1,2,1,1,1.799193057,5.358319218,7.565019895,5.067143,4.41426715,1.7652,6.807684,1.5853,1.474106588,0.899893,1.366345289,1.4771,5.3807,3.859611602,1.166215562,4.363677654,5.4235,2.431827814,8.736075209,1.071767169,1.070307,12.35695,
高雄市楠梓區壽民路１４２巷１７號五樓,105.1,40.85,住宅大樓(11層含以上有電梯),23,1,1,3,2,2,1,1,0.235798469,3.102035445,6.819805019,9.266022,10.69544764,1.2546,2.814577,0.4373,0.559879534,0.649325,0.692295461,1.0155,3.6697,4.684306097,3.288657864,10.77311872,12.985,2.142097217,4.475197721,16.87816911,3.800528,3.63929,
高雄市旗津區海岸路１５號三樓,99.9,36.69,公寓(5樓含以下無電梯),33,1,0,3,1,2,0,0,2.547445788,3.339815156,1.853405728,2.091324,7.107639072,0.9942,1.211516,2.8465,1.104747196,1.398125,0.732675751,2.2312,6.5998,6.688481143,3.652251457,11.67971761,3.6937,10.40008943,8.314548603,9.311398271,6.436798,9.190224,
高雄市左營區至聖路１６３號五樓之３,150,46.23,住宅大樓(11層含以上有電梯),33,1,0,2,1,1,1,1,0.846488465,2.157212344,1.974713049,3.529151,4.431385315,0.4958,2.39958,0.4076,0.916338906,0.299268,0.856779236,0.3057,4.2112,5.646170096,8.411463017,9.428108499,6.4657,4.896112333,2.558008196,10.34798171,2.295036,3.171147,
高雄市林園區西溪路４號四樓之１,57,16.03,華廈(10層含以下有電梯),27,1,0,1,1,1,0,1,7.794316681,16.56609268,19.16428394,16.65018,15.63630816,9.6091,18.43357,2.0417,0.31388748,2.073684,3.833496621,0.3315,17.022,2.821445487,6.80217736,13.85268651,8.3754,1.108381461,20.32460416,10.7911932,11.2463,23.99881,
高雄市鳳山區中崙二路５８０巷１２之１號六樓,118,32.32,華廈(10層含以下有電梯),26,1,0,3,2,1,1,1,2.638615968,3.668752019,6.198513635,3.446388,2.730699812,2.9325,5.396411,1.6936,0.340858838,0.398791,0.572557269,0.4887,3.924,2.552586913,0.591189176,3.359342018,5.155,2.21207168,7.122472364,2.753221307,1.208058,10.82621,
高雄市三民區凱國路２２巷１之１號六樓,177.8,43.2,華廈(10層含以下有電梯),33,2,1,3,2,2,1,1,0.994238227,0.287918131,0.753196175,1.083721,2.187177712,0.7768,0.649136,0.2092,0.85667117,0.852939,0.272942531,0.8675,1.7859,3.047812258,6.126248475,7.405551201,4.1507,5.044221313,3.141798278,7.665163168,2.169277,5.759608,
高雄市楠梓區軍校路７８２巷２９之２號,100,23.97,公寓(5樓含以下無電梯),41,1,0,3,2,2,0,0,1.041665708,2.831362218,5.948401262,8.39793,9.987829718,0.8881,1.943652,0.2042,0.647127028,0.086217,0.968198399,0.7878,4.0829,4.681291685,3.40593423,11.48866899,12.143,2.963615453,5.337300935,16.13194312,3.215324,2.95803,
高雄市小港區東高街１６之３號,93,21.72,公寓(5樓含以下無電梯),46,1,0,3,2,1,0,0,1.74103141,5.237780415,8.457134866,5.519386,4.317148924,2.8832,7.640117,2.1446,1.967274498,1.384558,1.259695644,0.4518,6.161,4.853865825,1.830088789,3.03440407,6.6358,0.858565627,9.120571202,2.494870292,1.178649,12.92621,
高雄市林園區五福路８２巷１之４號,80,18.18,公寓(5樓含以下無電梯),40,1,0,3,1,1,0,0,6.172642048,15.16468355,18.12079269,15.41686,14.26184103,8.6765,17.35266,1.1427,1.168424172,1.010507,1.718142448,1.9993,15.902,0.740438093,6.754845776,12.23710167,8.3114,0.458099133,19.06065259,9.832903687,9.379806,22.82363,
高雄市鳳山區三商街１２９巷３之３號,160,36.18,華廈(10層含以下有電梯),28,1,1,3,2,2,0,1,2.389463616,4.01882071,5.3797426,3.371658,3.414904127,1.8968,4.671401,0.1298,0.48972238,0.176806,0.695662019,0.751,3.3422,1.77313916,1.920111801,4.939268844,3.5047,3.819568946,6.864317222,2.995267141,1.443221,10.28887,
高雄市新興區開封路１１８號６樓之３,166.9,34.9,華廈(10層含以下有電梯),34,2,0,3,2,2,0,1,0.590638612,0.853929781,1.311575577,0.80984,2.488721656,0.1668,1.278341,0.2944,0.200624005,0.367971,0.145774935,0.7245,2.0148,2.971590179,5.684168612,7.629505033,3.5308,5.581497704,3.803589007,7.419818247,2.530147,6.23122,
高雄市林園區港埔三路１０３巷１之３號,100,20.74,公寓(5樓含以下無電梯),40,1,0,3,2,1,0,0,6.543270392,15.15446494,17.67059299,15.19167,14.21811316,8.1155,16.94525,0.728,1.603374559,0.708018,3.139065143,1.7347,15.541,2.760130262,5.348805403,12.54142788,6.9293,0.922650213,18.86822981,9.297635601,10.13163,22.52136,
高雄市林園區中芸路８３巷２０之４號,210,42.83,華廈(10層含以下有電梯),27,1,2,3,1,2,1,1,8.161859741,17.00972599,19.67951441,17.13005,16.08529462,10.128,18.94227,2.5333,0.492039539,2.577238,3.640957248,0.3461,17.523,2.83157973,7.393493597,14.23569379,8.9684,1.496574636,20.80115918,11.30941831,11.53234,24.4943,
高雄市小港區二苓路３０４號十一樓,265.2,53.98,住宅大樓(11層含以上有電梯),26,3,0,3,2,2,1,1,0.33770726,7.417298378,9.191661745,7.00412,6.477904015,0.6448,8.498526,0.653,0.139615517,0.632907,1.28421431,0.8243,7.1547,4.139428088,3.23626074,6.196220607,3.4945,4.061949131,10.62823829,0.998516657,2.912517,14.11687,
高雄市鳳山區過埤路６５７號三樓之５,250,50.51,住宅大樓(11層含以上有電梯),31,1,0,3,2,2,1,1,2.608668497,4.581389717,7.083018927,4.406533,3.632164871,2.5683,6.296123,2.0516,0.68730505,0.275718,0.861755337,0.932,4.8359,3.388369124,0.380489624,3.64826945,5.4921,1.922024436,8.08334562,1.877871495,0.499416,11.77117,
高雄市林園區王公路７４巷１１之２號,160,31.44,公寓(5樓含以下無電梯),40,1,0,3,2,2,0,0,4.896010185,13.73680183,16.54024767,13.90332,12.81720249,7.0476,15.78319,0.5242,0.505589452,0.468423,1.701314001,2.9578,14.344,1.998512748,5.178882729,10.95959248,6.7097,0.271469688,17.56520346,8.213800138,8.391009,21.29327,
高雄市前鎮區樹德路２巷７號二樓,155,30.19,公寓(5樓含以下無電梯),37,1,0,3,1,1,0,0,2.156251677,5.408515748,5.803848326,4.169992,4.853864766,0.5082,5.070605,2.0996,0.795125838,0.12161,0.693994035,0.4869,4.5755,3.280762234,3.106971948,7.082657473,2.0743,5.698361567,8.050413804,3.61161718,1.028854,10.99117,
高雄市左營區介壽路２２１巷１７號十二樓,138.8,26.7,住宅大樓(11層含以上有電梯),10,3,0,3,2,2,1,1,2.881506919,1.426547844,2.550888448,5.05619,7.925650223,2.5181,1.010589,1.906,0.915097495,1.018408,1.110196168,1.3085,6.9374,6.196239703,5.173178234,12.91310471,9.0411,4.886662831,5.613690917,13.63735788,1.963102,2.864737,
高雄市三民區建工路４３１號九樓之７,185.1,35.5,住宅大樓(11層含以上有電梯),29,2,0,3,2,2,1,1,1.8391314,1.369515753,1.126445905,2.597984,2.526226269,2.1188,0.792712,0.9996,0.087754525,0.492848,0.529542735,0.6833,2.4346,3.998437574,6.883631643,7.388908459,5.7907,4.143384811,1.487419691,8.703201231,2.354089,4.549691,
高雄市旗津區旗津三路８５８號五樓之１,146,27.95,公寓(5樓含以下無電梯),36,1,0,3,1,1,1,0,1.322394392,4.302020914,2.721124079,2.255818,7.006972188,2.0056,2.025323,1.9341,2.08000704,2.054861,0.537023514,2.066,6.5098,6.303841948,2.422039111,11.19797386,2.9288,10.2454614,8.714771647,8.365935374,5.366608,10.03248,
高雄市旗山區溝坪路９８之１號二樓之三二,200,38.11,華廈(10層含以下有電梯),25,1,0,2,0,2,1,1,9.021973597,28.50663705,41.59072059,41.78563,41.70245338,30.508,7.682267,9.7993,2.184815477,7.848349,2.322524006,1.4684,32.949,32.19377734,2.411418757,9.072196768,34.498,2.580564124,32.23138215,47.05277322,11.2892,37.70717,
高雄市新興區七賢二路２５號１０樓之３,220,41.85,住宅大樓(11層含以上有電梯),39,2,0,3,2,2,1,1,1.085431138,0.61788198,1.785957914,1.570732,3.64147791,0.3317,0.468843,0.26,0.863412418,0.078377,0.759477584,1.2095,3.1735,4.041919018,5.549365334,8.786140319,3.6619,6.617038882,4.335863889,8.272649003,3.669493,6.00778,
高雄市三民區臥龍路６０巷１５之４號,138,25.59,公寓(5樓含以下無電梯),43,1,0,3,2,2,0,0,2.064145605,0.506083717,1.64143339,1.658649,1.211368128,1.1054,0.916633,1.6013,1.267933451,0.304467,0.398052282,0.2392,1.2017,2.763888278,5.571839181,6.194383146,5.138,3.497520093,2.354084621,7.435299209,1.036976,5.84664,
高雄市小港區康莊路１６３之３號,135,24.88,公寓(5樓含以下無電梯),38,1,0,3,2,2,0,0,0.769556172,7.033279806,9.152028355,6.766096,6.08334277,0.4242,8.422812,0.1937,0.656996889,0.305154,0.574667096,0.4183,7.0275,4.126030778,2.830631156,5.564319271,4.0796,3.404573378,10.428676,0.787999346,2.490916,14.01005,
高雄市鹽埕區七賢三路３號二樓,110,20.21,住宅大樓(11層含以上有電梯),41,1,0,2,1,1,1,1,2.104755415,2.262567692,0.685396744,0.991599,5.87765196,0.5921,0.107055,1.5957,0.307242586,0.059225,1.606820406,0.909,5.3711,5.655203997,4.033009743,10.65774552,3.2299,9.106946502,6.945000649,8.836825085,5.971807,7.978671,
高雄市旗山區溝坪路９８之１號六樓之一七,105,18.95,華廈(10層含以下有電梯),25,2,0,1,1,1,1,1,9.021973597,28.50663705,41.59072059,41.78563,41.70245338,30.508,7.682267,9.7993,2.184815477,7.848349,2.322524006,1.4684,32.949,32.19377734,2.411418757,9.072196768,34.498,2.580564124,32.23138215,47.05277322,11.2892,37.70717,
高雄市岡山區岡山路１１號六樓之２,338.7,59.96,住宅大樓(11層含以上有電梯),16,2,1,4,2,2,1,1,4.855168322,0.768721539,14.36089487,16.83775,17.9151441,0.691,2.94843,1.7081,0.399190093,0.652315,0.065005658,0.8614,7.7354,5.492613179,1.964725333,7.866492706,12.71,2.052058488,3.122692364,24.16765778,2.674466,11.03045,
高雄市岡山區仁義路３０號四樓之１,338.7,59.96,住宅大樓(11層含以上有電梯),16,1,1,4,2,2,1,1,4.938529395,0.815417308,14.37662439,16.85642,17.96910498,0.7646,2.824217,1.5857,0.489799136,0.657227,0.173372155,0.7699,7.8151,5.375177429,2.008659011,7.989339306,12.599,1.941351765,3.154890723,24.22097536,2.798676,11.072,
高雄市岡山區仁義路１８號四樓之２,338.7,59.96,住宅大樓(11層含以上有電梯),16,1,1,4,2,2,1,1,4.956342588,0.841115827,14.34250147,16.82218,17.93498086,0.733,2.837265,1.6021,0.461989828,0.688861,0.156955469,0.7865,7.7834,5.395829029,1.974263759,7.985296656,12.623,1.934709183,3.120327073,24.18681584,2.791883,11.03748,
高雄市小港區飛機路４７９巷１１之２號,195,34.42,公寓(5樓含以下無電梯),43,1,0,3,1,2,0,0,0.569709025,6.720901323,8.711690196,6.382553,5.776271017,0.7721,7.989951,0.2772,0.609797568,0.721048,0.920632888,0.8799,6.6068,4.562180316,2.523142739,5.466578755,4.234,3.348762205,10.033506,0.338933493,2.273445,13.58731,
高雄市仁武區大禮街３１號三樓之１,140,24.49,公寓(5樓含以下無電梯),40,1,0,3,2,1,0,0,2.420104689,2.378440696,7.449987276,8.857532,8.72334747,2.4587,4.908356,1.8364,1.56436247,2.075535,0.839030371,2.5028,1.8741,0.827271493,7.434636824,9.286912502,12.291,1.284083349,2.128909832,14.91022535,1.471751,3.418015,
高雄市旗山區溝坪路９８之１號七樓之一五,110,18.95,華廈(10層含以下有電梯),25,2,0,1,1,1,1,1,9.021973597,28.50663705,41.59072059,41.78563,41.70245338,30.508,7.682267,9.7993,2.184815477,7.848349,2.322524006,1.4684,32.949,32.19377734,2.411418757,9.072196768,34.498,2.580564124,32.23138215,47.05277322,11.2892,37.70717,
高雄市湖內區中山路一段３０１巷６２弄８號七樓之２,200,34.09,住宅大樓(11層含以上有電梯),27,2,0,3,2,2,1,1,11.80249533,0.826725754,25.0777512,27.57661,29.40679451,12.354,7.228754,10.445,3.035404921,2.403428,2.321164709,2.8902,19.401,7.615487011,13.53682623,16.87833358,5.3359,0.941978042,14.56846641,35.63076943,3.617534,22.38389,
高雄市前鎮區管仲路４９號６樓,300,49.26,住宅大樓(11層含以上有電梯),33,2,0,4,2,2,1,1,0.197896061,3.610083608,4.068216127,2.327608,3.570335694,0.3413,3.183791,0.6676,1.065877476,0.099682,0.060141043,0.3647,3.1546,2.46454091,3.37524556,7.298324096,1.1287,6.467225674,6.348159432,5.23177355,2.895049,9.035147,
高雄市前鎮區后平路９２號三樓之１,241.6,38.96,公寓(5樓含以下無電梯),34,1,0,4,2,2,0,0,2.417632145,7.269922832,7.621627653,6.12996,6.561549239,1.1101,6.987257,3.0116,1.269977171,0.884751,1.374550426,1.2746,6.3622,4.902210844,3.904205267,7.538371952,3.8829,5.70801884,9.900434586,2.742326183,0.818415,12.9691,
高雄市三民區大慶街５６巷５號二樓,210,33.67,公寓(5樓含以下無電梯),35,1,0,3,1,2,0,0,1.241339965,1.786216177,2.14639684,2.681628,2.46500829,2.5189,1.589058,1.6116,0.985764529,0.419076,0.431758784,1.138,2.5899,4.114423338,6.719087778,6.736945803,6.4803,3.1445289,0.999455341,8.701242169,2.237423,4.792097,
高雄市小港區旭東街１５之３號,140,21.72,公寓(5樓含以下無電梯),46,1,0,3,1,1,0,0,1.742108628,5.2185697,8.412606083,5.483584,4.294955879,2.8515,7.596599,2.1319,1.91527299,1.324186,1.308249368,0.4435,6.1175,4.803789872,1.773515551,3.057896398,6.6039,0.879870749,9.090244153,2.443880388,1.119814,12.89213,
高雄市小港區東高街２之３號,140,21.72,公寓(5樓含以下無電梯),46,1,0,3,2,1,0,0,1.695576091,5.280745862,8.488526261,5.556181,4.35930083,2.8439,7.672241,2.1,1.991987292,1.396305,1.289980111,0.4072,6.1931,4.880539384,1.849037694,3.077019679,6.5964,0.902142949,9.159929071,2.468412068,1.193865,12.9639,
高雄市大寮區內厝路３４５號十樓,200,30.58,華廈(10層含以下有電梯),28,2,0,3,1,2,1,1,3.150090162,3.493269066,8.325531419,5.151213,3.46519276,1.6395,7.503264,0.8622,0.807951917,0.522138,0.613190367,0.8664,6.1846,5.19022083,3.842072825,0.550211318,8.8289,1.509365525,8.040483588,5.558650804,3.178104,11.89976,
高雄市鼓山區吳鳳路１３０號四樓,129,19.61,公寓(5樓含以下無電梯),38,1,0,2,1,2,0,0,1.700488702,0.942279343,0.656418817,3.052094,6.881143498,2.4803,2.092311,0.181,1.053689841,0.625441,2.527929508,1.1725,6.5289,7.48597336,7.052522063,12.07235385,7.1519,6.335548648,5.47397769,12.09086863,3.201127,4.202549,
